# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 100 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
 1291.55    4.063    1.223   67.339    755.9    1.79E+28
 1668.10    5.247    1.250   83.348    871.0    3.28E+28
 2154.43    6.777    1.274  103.508   1003.9    6.02E+28
 2782.56    8.753    1.297  129.132   1160.0    1.11E+29
 3593.81   11.305    1.320  160.929   1340.4    2.05E+29
# ----------------------------------------------------------


# t (Gyr) =  0.1000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.631   25.310    193.9    2.05E+25
  166.81    0.525    0.770   21.966    229.8    6.04E+25
  215.44    0.678    0.869   22.268    261.9    1.30E+26
  278.26    0.875    0.944   24.348    292.2    2.37E+26
  317.89    1.000    0.976   26.031    308.3    3.14E+26
  359.38    1.131    1.003   27.887    323.3    4.01E+26
  464.16    1.460    1.047   33.054    356.4    6.44E+26
  599.48    1.886    1.081   40.028    394.7    1.04E+27
  774.26    2.436    1.113   48.784    431.3    1.57E+27
 1000.00    3.146    1.141   59.872    487.5    2.69E+27
 1291.55    4.063    1.163   74.472    553.1    4.63E+27
 1668.10    5.247    1.179   93.579    627.3    7.86E+27
 2154.43    6.777    1.189  118.979    714.9    1.35E+28
 2782.56    8.753    1.190  153.180    839.1    2.56E+28
 3593.81   11.305    1.190  197.913    992.7    5.02E+28
# ----------------------------------------------------------


# t (Gyr) =  0.3162
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.612   26.921    141.0    5.39E+24
  166.81    0.525    0.743   23.563    169.2    1.65E+25
  215.44    0.678    0.837   23.963    190.2    3.34E+25
  278.26    0.875    0.909   26.245    211.2    6.02E+25
  317.89    1.000    0.940   28.086    222.7    7.92E+25
  359.38    1.131    0.965   30.099    234.6    1.03E+26
  464.16    1.460    1.007   35.705    260.7    1.71E+26
  599.48    1.886    1.041   43.124    286.5    2.68E+26
  774.26    2.436    1.073   52.418    319.0    4.36E+26
 1000.00    3.146    1.100   64.499    357.0    7.17E+26
 1291.55    4.063    1.117   80.734    399.7    1.16E+27
 1668.10    5.247    1.127  102.480    452.4    1.94E+27
 2154.43    6.777    1.129  131.971    524.3    3.52E+27
 2782.56    8.753    1.122  172.440    612.8    6.49E+27
 3593.81   11.305    1.110  227.548    718.8    1.20E+28
# ----------------------------------------------------------


# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.595   28.429    103.1    1.46E+24
  166.81    0.525    0.721   25.062    123.1    4.35E+24
  215.44    0.678    0.811   25.552    138.6    8.85E+24
  278.26    0.875    0.881   27.997    154.9    1.63E+25
  317.89    1.000    0.910   29.947    163.6    2.16E+25
  359.38    1.131    0.935   32.088    172.1    2.80E+25
  464.16    1.460    0.976   38.038    190.5    4.57E+25
  599.48    1.886    1.011   45.755    208.0    6.97E+25
  774.26    2.436    1.042   55.666    231.1    1.13E+26
 1000.00    3.146    1.065   68.729    257.7    1.83E+26
 1291.55    4.063    1.080   86.445    291.6    3.08E+26
 1668.10    5.247    1.086  110.329    333.4    5.31E+26
 2154.43    6.777    1.085  142.872    383.2    9.27E+26
 2782.56    8.753    1.074  188.179    440.9    1.59E+27
 3593.81   11.305    1.057  250.865    509.3    2.75E+27
# ----------------------------------------------------------


# t (Gyr) =  3.1623
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.582   29.746     74.7    3.86E+23
  166.81    0.525    0.701   26.464     89.3    1.14E+24
  215.44    0.678    0.788   27.046    101.5    2.40E+24
  278.26    0.875    0.856   29.630    113.3    4.41E+24
  317.89    1.000    0.885   31.684    119.4    5.80E+24
  359.38    1.131    0.909   33.934    125.4    7.47E+24
  464.16    1.460    0.949   40.184    138.2    1.20E+25
  599.48    1.886    0.986   48.151    150.8    1.83E+25
  774.26    2.436    1.015   58.659    167.3    2.95E+25
 1000.00    3.146    1.037   72.594    188.2    4.92E+25
 1291.55    4.063    1.049   91.505    213.3    8.33E+25
 1668.10    5.247    1.054  117.124    242.3    1.40E+26
 2154.43    6.777    1.050  152.343    276.0    2.34E+26
 2782.56    8.753    1.038  201.588    316.8    3.95E+26
 3593.81   11.305    1.019  269.925    367.1    6.88E+26
# ----------------------------------------------------------


# t (Gyr) = 10.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
  129.15    0.406    0.571   30.867     53.5    9.75E+22
  166.81    0.525    0.686   27.673     64.8    3.02E+23
  215.44    0.678    0.770   28.352     73.6    6.36E+23
  278.26    0.875    0.836   31.093     81.8    1.14E+24
  317.89    1.000    0.864   33.239     86.2    1.50E+24
  359.38    1.131    0.887   35.605     90.2    1.90E+24
  464.16    1.460    0.928   42.070     98.6    2.97E+24
  599.48    1.886    0.963   50.381    109.3    4.85E+24
  774.26    2.436    0.992   61.424    122.5    8.09E+24
 1000.00    3.146    1.013   76.081    137.5    1.33E+25
 1291.55    4.063    1.024   96.064    154.7    2.19E+25
 1668.10    5.247    1.028  123.221    175.2    3.64E+25
 2154.43    6.777    1.023  160.642    199.8    6.08E+25
 2782.56    8.753    1.010  212.929    229.9    1.04E+26
 3593.81   11.305    0.991  285.480    265.6    1.79E+26
# ----------------------------------------------------------
