# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 10 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
 3593.81   11.305    1.832   83.553   2019.0    2.03E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0100
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   16.68    0.052    1.129    1.022    138.3    1.71E+25
   21.54    0.068    1.305    0.988    149.4    3.10E+25
   27.83    0.088    1.398    1.110    164.1    5.17E+25
   35.94    0.113    1.446    1.342    183.3    8.63E+25
   46.42    0.146    1.456    1.708    207.9    1.45E+26
   59.95    0.189    1.453    2.218    239.6    2.55E+26
   77.43    0.244    1.436    2.928    277.9    4.49E+26
  100.00    0.315    1.407    3.939    321.8    7.76E+26
  129.15    0.406    1.387    5.235    348.7    1.04E+27
  166.81    0.525    1.376    6.876    386.4    1.54E+27
  215.44    0.678    1.361    9.074    431.8    2.35E+27
  278.26    0.875    1.350   11.918    490.7    3.87E+27
  317.89    1.000    1.347   13.668    524.5    5.02E+27
  359.38    1.131    1.347   15.451    557.3    6.39E+27
  464.16    1.460    1.348   19.916    631.6    1.06E+28
  599.48    1.886    1.351   25.639    717.1    1.76E+28
  774.26    2.436    1.351   33.076    818.8    3.00E+28
 1000.00    3.146    1.354   42.569    924.1    4.88E+28
 1291.55    4.063    1.379   53.010   1029.7    7.81E+28
 1668.10    5.247    1.413   65.217   1165.9    1.35E+29
 2154.43    6.777    1.452   79.760   1318.2    2.32E+29
 2782.56    8.753    1.495   97.085   1495.0    4.08E+29
 3593.81   11.305    1.546  117.369   1692.3    7.14E+29
# ----------------------------------------------------------


# t (Gyr) =  0.0316
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.706    2.023    109.2    2.59E+24
   16.68    0.052    0.962    1.406    113.5    5.62E+24
   21.54    0.068    1.111    1.361    122.3    1.01E+25
   27.83    0.088    1.196    1.517    135.6    1.77E+25
   35.94    0.113    1.241    1.820    152.1    3.02E+25
   46.42    0.146    1.257    2.290    171.2    4.95E+25
   59.95    0.189    1.261    2.943    193.4    8.13E+25
   77.43    0.244    1.251    3.859    219.0    1.32E+26
  100.00    0.315    1.253    4.965    234.2    1.72E+26
  129.15    0.406    1.263    6.317    258.6    2.61E+26
  166.81    0.525    1.267    8.112    291.4    4.22E+26
  215.44    0.678    1.266   10.494    331.3    7.06E+26
  278.26    0.875    1.261   13.647    373.9    1.13E+27
  317.89    1.000    1.261   15.596    397.4    1.45E+27
  359.38    1.131    1.262   17.609    419.1    1.79E+27
  464.16    1.460    1.263   22.684    467.4    2.78E+27
  599.48    1.886    1.265   29.223    521.7    4.33E+27
  774.26    2.436    1.263   37.880    584.3    6.78E+27
 1000.00    3.146    1.268   48.524    637.8    9.72E+27
 1291.55    4.063    1.281   61.356    729.1    1.70E+28
 1668.10    5.247    1.296   77.483    845.1    3.13E+28
 2154.43    6.777    1.311   97.831    978.9    5.75E+28
 2782.56    8.753    1.326  123.478   1135.4    1.06E+29
 3593.81   11.305    1.342  155.574   1319.0    1.99E+29
# ----------------------------------------------------------


# t (Gyr) =  0.1000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.611    2.697     86.9    7.77E+23
   16.68    0.052    0.825    1.911     93.5    1.90E+24
   21.54    0.068    0.959    1.830    101.2    3.52E+24
   27.83    0.088    1.041    2.005    110.3    5.86E+24
   35.94    0.113    1.089    2.363    121.1    9.32E+24
   46.42    0.146    1.114    2.920    133.6    1.44E+25
   59.95    0.189    1.126    3.688    147.8    2.21E+25
   77.43    0.244    1.139    4.654    157.6    2.93E+25
  100.00    0.315    1.161    5.786    171.2    4.25E+25
  129.15    0.406    1.177    7.270    191.1    6.78E+25
  166.81    0.525    1.188    9.225    214.9    1.10E+26
  215.44    0.678    1.193   11.803    242.3    1.79E+26
  278.26    0.875    1.194   15.223    272.3    2.86E+26
  317.89    1.000    1.195   17.374    288.3    3.59E+26
  359.38    1.131    1.196   19.584    304.3    4.49E+26
  464.16    1.460    1.199   25.187    339.3    6.95E+26
  599.48    1.886    1.202   32.390    379.8    1.10E+27
  774.26    2.436    1.201   41.843    420.5    1.65E+27
 1000.00    3.146    1.210   53.286    470.5    2.62E+27
 1291.55    4.063    1.219   67.796    536.3    4.49E+27
 1668.10    5.247    1.224   86.811    611.6    7.66E+27
 2154.43    6.777    1.224  112.123    699.1    1.31E+28
 2782.56    8.753    1.219  146.029    821.8    2.48E+28
 3593.81   11.305    1.212  190.931    976.3    4.87E+28
# ----------------------------------------------------------


# t (Gyr) =  0.3162
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.541    3.438     68.3    2.33E+23
   16.68    0.052    0.722    2.494     74.2    5.76E+23
   21.54    0.068    0.839    2.386     79.9    1.05E+24
   27.83    0.088    0.916    2.586     87.1    1.77E+24
   35.94    0.113    0.967    2.999     95.5    2.83E+24
   46.42    0.146    0.999    3.626    104.9    4.41E+24
   59.95    0.189    1.027    4.437    111.9    6.04E+24
   77.43    0.244    1.060    5.380    120.3    8.60E+24
  100.00    0.315    1.090    6.561    131.5    1.30E+25
  129.15    0.406    1.113    8.131    144.6    1.97E+25
  166.81    0.525    1.129   10.200    159.6    3.02E+25
  215.44    0.678    1.139   12.959    177.2    4.67E+25
  278.26    0.875    1.143   16.622    198.0    7.34E+25
  317.89    1.000    1.145   18.930    210.3    9.38E+25
  359.38    1.131    1.147   21.324    222.1    1.17E+26
  464.16    1.460    1.150   27.375    249.7    1.88E+26
  599.48    1.886    1.153   35.185    280.3    3.00E+26
  774.26    2.436    1.156   45.181    308.7    4.42E+26
 1000.00    3.146    1.165   57.448    346.5    7.15E+26
 1291.55    4.063    1.171   73.465    389.8    1.16E+27
 1668.10    5.247    1.170   95.019    441.8    1.91E+27
 2154.43    6.777    1.163  124.351    513.0    3.42E+27
 2782.56    8.753    1.149  164.376    601.8    6.32E+27
 3593.81   11.305    1.131  219.312    708.8    1.18E+28
# ----------------------------------------------------------


# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.491    4.174     51.4    6.14E+22
   16.68    0.052    0.646    3.123     57.2    1.62E+23
   21.54    0.068    0.750    2.991     62.2    3.07E+23
   27.83    0.088    0.823    3.207     67.8    5.22E+23
   35.94    0.113    0.876    3.658     73.9    8.33E+23
   46.42    0.146    0.915    4.322     78.6    1.17E+24
   59.95    0.189    0.957    5.107     83.6    1.63E+24
   77.43    0.244    0.996    6.089     90.4    2.42E+24
  100.00    0.315    1.031    7.340     98.3    3.63E+24
  129.15    0.406    1.058    9.002    107.5    5.46E+24
  166.81    0.525    1.079   11.187    118.7    8.41E+24
  215.44    0.678    1.092   14.085    132.1    1.33E+25
  278.26    0.875    1.100   17.937    147.5    2.09E+25
  317.89    1.000    1.103   20.375    156.1    2.64E+25
  359.38    1.131    1.106   22.901    164.6    3.29E+25
  464.16    1.460    1.111   29.332    183.5    5.12E+25
  599.48    1.886    1.114   37.657    204.5    7.94E+25
  774.26    2.436    1.121   48.084    224.1    1.16E+26
 1000.00    3.146    1.128   61.284    250.5    1.83E+26
 1291.55    4.063    1.131   78.750    283.6    3.02E+26
 1668.10    5.247    1.127  102.380    326.2    5.25E+26
 2154.43    6.777    1.117  134.709    376.3    9.15E+26
 2782.56    8.753    1.100  179.463    434.4    1.57E+27
 3593.81   11.305    1.077  241.895    503.4    2.72E+27
# ----------------------------------------------------------


# t (Gyr) =  3.1623
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.459    4.793     37.3    1.49E+22
   16.68    0.052    0.589    3.748     43.4    4.51E+22
   21.54    0.068    0.684    3.589     47.4    8.64E+22
   27.83    0.088    0.755    3.809     51.4    1.45E+23
   35.94    0.113    0.810    4.272     54.5    2.11E+23
   46.42    0.146    0.859    4.908     57.8    2.99E+23
   59.95    0.189    0.904    5.722     62.0    4.41E+23
   77.43    0.244    0.944    6.776     67.1    6.60E+23
  100.00    0.315    0.980    8.121     73.2    1.01E+24
  129.15    0.406    1.010    9.881     80.3    1.55E+24
  166.81    0.525    1.034   12.167     88.5    2.40E+24
  215.44    0.678    1.052   15.185     97.9    3.70E+24
  278.26    0.875    1.063   19.203    108.4    5.70E+24
  317.89    1.000    1.068   21.751    114.5    7.15E+24
  359.38    1.131    1.072   24.406    120.3    8.80E+24
  464.16    1.460    1.078   31.177    133.5    1.35E+25
  599.48    1.886    1.082   39.948    148.2    2.06E+25
  774.26    2.436    1.091   50.782    162.1    2.99E+25
 1000.00    3.146    1.097   64.815    183.2    4.95E+25
 1291.55    4.063    1.099   83.453    208.3    8.31E+25
 1668.10    5.247    1.094  108.820    237.4    1.39E+26
 2154.43    6.777    1.081  143.771    271.6    2.32E+26
 2782.56    8.753    1.062  192.416    312.6    3.93E+26
 3593.81   11.305    1.037  260.497    363.3    6.83E+26
# ----------------------------------------------------------


# t (Gyr) = 10.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.435    5.335     27.4    3.86E+21
   16.68    0.052    0.550    4.303     31.7    1.11E+22
   21.54    0.068    0.637    4.137     34.9    2.19E+22
   27.83    0.088    0.707    4.344     37.3    3.51E+22
   35.94    0.113    0.766    4.781     39.6    5.29E+22
   46.42    0.146    0.817    5.429     42.5    7.95E+22
   59.95    0.189    0.863    6.283     46.0    1.22E+23
   77.43    0.244    0.904    7.397     50.0    1.86E+23
  100.00    0.315    0.940    8.825     54.4    2.81E+23
  129.15    0.406    0.971   10.687     59.3    4.25E+23
  166.81    0.525    0.997   13.083     65.0    6.46E+23
  215.44    0.678    1.018   16.223     71.4    9.80E+23
  278.26    0.875    1.032   20.399     78.9    1.51E+24
  317.89    1.000    1.037   23.056     83.1    1.87E+24
  359.38    1.131    1.042   25.824     87.4    2.31E+24
  464.16    1.460    1.049   32.900     96.9    3.54E+24
  599.48    1.886    1.055   42.012    106.3    5.19E+24
  774.26    2.436    1.065   53.297    118.8    8.23E+24
 1000.00    3.146    1.071   68.045    134.0    1.35E+25
 1291.55    4.063    1.072   87.721    151.4    2.20E+25
 1668.10    5.247    1.066  114.614    171.9    3.63E+25
 2154.43    6.777    1.052  151.768    196.8    6.06E+25
 2782.56    8.753    1.033  203.450    227.1    1.03E+26
 3593.81   11.305    1.008  275.718    263.2    1.78E+26
# ----------------------------------------------------------
