# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models without heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
 1291.55    4.063    1.137   77.944    282.6    3.01E+26
 1668.10    5.247    1.132  101.510    325.3    5.24E+26
 2154.43    6.777    1.121  133.798    375.5    9.13E+26
 2782.56    8.753    1.103  178.540    433.6    1.57E+27
 3593.81   11.305    1.079  240.879    502.7    2.72E+27
# ----------------------------------------------------------


# t (Gyr) =  3.1623
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   10.00    0.031    1.101    0.644     30.1    3.64E+22
   12.92    0.041    1.076    0.870     33.7    5.47E+22
   16.68    0.052    1.057    1.165     37.8    8.33E+22
   21.54    0.068    1.040    1.555     42.3    1.26E+23
   27.83    0.088    1.024    2.069     47.1    1.89E+23
   35.94    0.113    1.013    2.733     52.1    2.75E+23
   46.42    0.146    1.006    3.578     57.2    3.95E+23
   59.95    0.189    1.009    4.591     60.5    5.00E+23
   77.43    0.244    1.027    5.733     65.1    6.93E+23
  100.00    0.315    1.046    7.132     71.2    1.03E+24
  129.15    0.406    1.064    8.901     78.4    1.56E+24
  166.81    0.525    1.078   11.197     86.8    2.41E+24
  215.44    0.678    1.087   14.234     96.3    3.71E+24
  278.26    0.875    1.090   18.265    107.1    5.70E+24
  317.89    1.000    1.091   20.833    113.4    7.18E+24
  359.38    1.131    1.092   23.525    119.3    8.82E+24
  464.16    1.460    1.093   30.303    132.6    1.35E+25
  599.48    1.886    1.094   39.087    147.5    2.07E+25
  774.26    2.436    1.099   49.981    161.5    2.99E+25
 1000.00    3.146    1.104   63.987    182.5    4.94E+25
 1291.55    4.063    1.104   82.607    207.7    8.29E+25
 1668.10    5.247    1.098  107.910    236.8    1.38E+26
 2154.43    6.777    1.085  142.813    271.0    2.32E+26
 2782.56    8.753    1.065  191.442    312.1    3.92E+26
 3593.81   11.305    1.040  259.428    362.8    6.82E+26
# ----------------------------------------------------------


# t (Gyr) = 10.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   10.00    0.031    0.938    0.886     23.7    1.02E+22
   12.92    0.041    0.935    1.152     26.5    1.58E+22
   16.68    0.052    0.933    1.495     29.6    2.42E+22
   21.54    0.068    0.931    1.937     32.8    3.66E+22
   27.83    0.088    0.931    2.504     36.1    5.34E+22
   35.94    0.113    0.934    3.215     39.3    7.60E+22
   46.42    0.146    0.940    4.099     42.3    1.03E+23
   59.95    0.189    0.958    5.093     44.8    1.34E+23
   77.43    0.244    0.980    6.287     48.6    1.96E+23
  100.00    0.315    1.001    7.778     53.0    2.90E+23
  129.15    0.406    1.021    9.664     58.1    4.31E+23
  166.81    0.525    1.038   12.084     63.8    6.52E+23
  215.44    0.678    1.050   15.241     70.4    9.87E+23
  278.26    0.875    1.057   19.430     78.0    1.51E+24
  317.89    1.000    1.059   22.104     82.4    1.89E+24
  359.38    1.131    1.061   24.909     86.8    2.33E+24
  464.16    1.460    1.064   31.993     96.4    3.57E+24
  599.48    1.886    1.066   41.160    106.1    5.26E+24
  774.26    2.436    1.073   52.469    118.3    8.22E+24
 1000.00    3.146    1.078   67.186    133.6    1.35E+25
 1291.55    4.063    1.077   86.842    151.0    2.20E+25
 1668.10    5.247    1.070  113.668    171.5    3.62E+25
 2154.43    6.777    1.056  150.774    196.4    6.05E+25
 2782.56    8.753    1.035  202.442    226.7    1.03E+26
 3593.81   11.305    1.010  274.610    262.9    1.78E+26
# ----------------------------------------------------------
