# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 50 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
 2782.56    8.753    1.482   98.873   1508.1    4.14E+29
 3593.81   11.305    1.535  118.980   1703.6    7.24E+29
# ----------------------------------------------------------


# t (Gyr) =  0.0316
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.580   13.903    188.5    1.55E+25
   77.43    0.244    0.766   10.285    225.7    5.57E+25
  100.00    0.315    0.892    9.796    252.9    1.19E+26
  129.15    0.406    0.983   10.431    281.0    2.20E+26
  166.81    0.525    1.050   11.794    314.4    3.94E+26
  215.44    0.678    1.099   13.924    351.6    6.74E+26
  278.26    0.875    1.136   16.807    391.2    1.10E+27
  317.89    1.000    1.152   18.698    413.4    1.42E+27
  359.38    1.131    1.164   20.676    434.3    1.76E+27
  464.16    1.460    1.189   25.619    481.4    2.77E+27
  599.48    1.886    1.205   32.195    534.8    4.33E+27
  774.26    2.436    1.216   40.872    593.6    6.70E+27
 1000.00    3.146    1.235   51.180    646.7    9.71E+27
 1291.55    4.063    1.255   63.940    740.7    1.73E+28
 1668.10    5.247    1.276   79.950    856.7    3.21E+28
 2154.43    6.777    1.294  100.349    990.4    5.88E+28
 2782.56    8.753    1.313  125.952   1146.6    1.09E+29
 3593.81   11.305    1.332  158.003   1329.0    2.02E+29
# ----------------------------------------------------------


# t (Gyr) =  0.1000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.554   15.255    141.2    4.45E+24
   77.43    0.244    0.726   11.458    166.6    1.48E+25
  100.00    0.315    0.843   10.979    184.5    3.01E+25
  129.15    0.406    0.928   11.702    206.1    5.69E+25
  166.81    0.525    0.993   13.187    229.9    1.01E+26
  215.44    0.678    1.041   15.509    255.9    1.70E+26
  278.26    0.875    1.079   18.651    283.9    2.76E+26
  317.89    1.000    1.094   20.728    299.4    3.51E+26
  359.38    1.131    1.107   22.897    314.2    4.35E+26
  464.16    1.460    1.130   28.335    348.3    6.86E+26
  599.48    1.886    1.147   35.564    386.5    1.07E+27
  774.26    2.436    1.160   44.855    424.6    1.60E+27
 1000.00    3.146    1.179   56.156    478.7    2.67E+27
 1291.55    4.063    1.194   70.657    544.1    4.57E+27
 1668.10    5.247    1.205   89.668    618.6    7.76E+27
 2154.43    6.777    1.208  115.168    706.4    1.33E+28
 2782.56    8.753    1.206  149.170    829.7    2.52E+28
 3593.81   11.305    1.202  194.106    983.9    4.94E+28
# ----------------------------------------------------------


# t (Gyr) =  0.3162
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.532   16.543    104.0    1.21E+24
   77.43    0.244    0.692   12.620    123.9    4.12E+24
  100.00    0.315    0.803   12.092    139.5    8.92E+24
  129.15    0.406    0.886   12.839    154.0    1.61E+25
  166.81    0.525    0.950   14.409    169.1    2.69E+25
  215.44    0.678    0.997   16.894    186.3    4.37E+25
  278.26    0.875    1.035   20.274    206.3    7.08E+25
  317.89    1.000    1.050   22.513    218.0    9.08E+25
  359.38    1.131    1.062   24.847    229.6    1.15E+26
  464.16    1.460    1.085   30.732    255.7    1.84E+26
  599.48    1.886    1.101   38.555    285.4    2.93E+26
  774.26    2.436    1.118   48.304    313.4    4.40E+26
 1000.00    3.146    1.135   60.533    351.4    7.16E+26
 1291.55    4.063    1.147   76.589    394.4    1.16E+27
 1668.10    5.247    1.151   98.176    446.5    1.93E+27
 2154.43    6.777    1.147  127.740    518.3    3.47E+27
 2782.56    8.753    1.137  167.922    606.8    6.40E+27
 3593.81   11.305    1.121  223.063    713.4    1.19E+28
# ----------------------------------------------------------


# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.514   17.712     75.8    3.18E+23
   77.43    0.244    0.663   13.737     92.2    1.16E+24
  100.00    0.315    0.769   13.185    103.0    2.43E+24
  129.15    0.406    0.850   13.960    113.3    4.34E+24
  166.81    0.525    0.913   15.606    124.7    7.37E+24
  215.44    0.678    0.961   18.214    137.9    1.22E+25
  278.26    0.875    0.998   21.777    152.7    1.98E+25
  317.89    1.000    1.014   24.138    161.1    2.53E+25
  359.38    1.131    1.026   26.612    169.2    3.15E+25
  464.16    1.460    1.050   32.858    187.4    4.95E+25
  599.48    1.886    1.066   41.151    206.4    7.52E+25
  774.26    2.436    1.085   51.350    227.5    1.15E+26
 1000.00    3.146    1.099   64.539    254.0    1.84E+26
 1291.55    4.063    1.108   82.062    287.3    3.06E+26
 1668.10    5.247    1.109  105.749    329.5    5.29E+26
 2154.43    6.777    1.102  138.343    379.5    9.21E+26
 2782.56    8.753    1.088  183.299    437.3    1.58E+27
 3593.81   11.305    1.068  245.983    506.2    2.73E+27
# ----------------------------------------------------------


# t (Gyr) =  3.1623
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.500   18.707     55.3    8.53E+22
   77.43    0.244    0.640   14.765     67.4    3.08E+23
  100.00    0.315    0.740   14.232     75.5    6.48E+23
  129.15    0.406    0.818   15.054     83.6    1.19E+24
  166.81    0.525    0.881   16.767     92.3    2.06E+24
  215.44    0.678    0.929   19.482    101.7    3.37E+24
  278.26    0.875    0.967   23.202    112.0    5.37E+24
  317.89    1.000    0.983   25.677    117.8    6.80E+24
  359.38    1.131    0.996   28.274    123.5    8.41E+24
  464.16    1.460    1.019   34.840    136.2    1.30E+25
  599.48    1.886    1.038   43.440    148.7    1.92E+25
  774.26    2.436    1.056   54.179    164.6    2.98E+25
 1000.00    3.146    1.069   68.221    185.6    4.95E+25
 1291.55    4.063    1.077   86.924    210.7    8.34E+25
 1668.10    5.247    1.076  112.342    239.6    1.39E+26
 2154.43    6.777    1.067  147.591    273.6    2.33E+26
 2782.56    8.753    1.051  196.456    314.5    3.94E+26
 3593.81   11.305    1.029  264.798    365.1    6.86E+26
# ----------------------------------------------------------


# t (Gyr) = 10.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   59.95    0.189    0.489   19.544     40.0    2.24E+22
   77.43    0.244    0.621   15.656     48.9    8.07E+22
  100.00    0.315    0.717   15.159     55.4    1.77E+23
  129.15    0.406    0.793   16.028     61.3    3.24E+23
  166.81    0.525    0.854   17.821     67.3    5.45E+23
  215.44    0.678    0.902   20.648     73.8    8.81E+23
  278.26    0.875    0.941   24.526     81.0    1.39E+24
  317.89    1.000    0.957   27.104     85.2    1.76E+24
  359.38    1.131    0.970   29.812     89.3    2.18E+24
  464.16    1.460    0.994   36.666     98.4    3.38E+24
  599.48    1.886    1.013   45.540    107.6    5.04E+24
  774.26    2.436    1.031   56.802    120.7    8.23E+24
 1000.00    3.146    1.044   71.570    135.7    1.34E+25
 1291.55    4.063    1.050   91.321    153.0    2.20E+25
 1668.10    5.247    1.049  118.268    173.4    3.64E+25
 2154.43    6.777    1.039  155.725    198.2    6.07E+25
 2782.56    8.753    1.022  207.628    228.4    1.04E+26
 3593.81   11.305    1.000  280.171    264.3    1.78E+26
# ----------------------------------------------------------
