No;Nostr;Type;BHMCat;SourceCat;SourceID;SysID;RA;DEC;Pbin;abin;ebin;wbin;Z;Fe/H;FeHerr;ibin;taumin;taumax;vsini1;vsin1err;vsini2;vsini2err;Prot1;Prot1err;Prot2;Prot2err;V;BV;M1;M1err;M2;M2err;q;R1;R1err;R2;R2err;T1;T1err;T2;T2err;logg1;logg1err;logg2;logg2err;S-type1;S-type2;Lx;Planets;SysADS
0026;0026;V;BHMCat0026V;DEBCat;35;LV Her;17 35 32.40;+23 10 30.60;18,436;0,1821000;0,6127;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;11,06;0,780;1,193;0,010;1,170;0,008;0,981;1,358;0,010;1,313;0,010;6208;-1;6025;-1;-1;-1;-1;-1;F9V;F9V;-1;-;-
0027;0027;V;BHMCat0027V;DEBCat;34;KIC 6131659;19 37 06.98;+41 26 12.80;17,528;0,1547000;0,0000;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12,76;0,920;0,922;0,007;0,685;0,005;0,743;0,880;0,003;0,640;0,006;5794;-1;4613;-1;-1;-1;-1;-1;G type;K type;-1;-;-
0028;0028;V;BHMCat0028V;DEBCat;33;V568 Lyr;19 20 54.30;+37 45 34.70;14,470;0,1444000;0,0000;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17,34;0,940;1,087;0,004;0,828;0,002;0,762;1,397;0,013;0,781;0,005;5649;-1;4819;-1;-1;-1;-1;-1;G type;K type;-1;-;-
0029;0029;V;BHMCat0029V;DEBCat;32;HP Dra;18 54 53.22;+51 18 25.10;10,762;0,1247000;0,0366;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7,94;0,550;1,133;0,005;1,094;0,007;0,966;1,371;0,012;1,052;0,010;5997;-1;5888;-1;-1;-1;-1;-1;F9V;F9V;-1;-;-
0030;0030;V;BHMCat0030V;DEBCat;31;RW Lac;22 44 57.09;+49 39 27.57;10,369;0,1132000;0,0098;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10,63;0,500;0,928;0,006;0,870;0,004;0,938;1,186;0,004;0,964;0,004;5754;-1;5559;-1;-1;-1;-1;-1;G5V;G7V;-1;-;-
0031;0031;V;BHMCat0031V;DEBCat;30;HS Aur;06 51 18.47;+47 40 24.2 ;9,815;0,1088000;0,0000;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10,16;0,770;0,900;0,019;0,879;0,017;0,977;1,004;0,024;0,873;0,024;5345;-1;5200;-1;-1;-1;-1;-1;G8V;K0V;-1;-;-
0032;0032;V;BHMCat0032V;DEBCat;29;V54 M55;;;9,269;0,0938000;0,1330;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;18,30;0,560;0,726;0,015;0,555;0,008;0,764;1,006;0,009;0,528;0,005;6251;-1;5023;-1;-1;-1;-1;-1;F type;K type;-1;-;-
0033;0033;V;BHMCat0033V;DEBCat;28;V66 M4;16 23 32.23;-26 31 41.30;8,111;0,0910000;0,0000;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;16,84;0,880;0,784;0,005;0,744;0,004;0,949;0,935;0,005;0,830;0,005;6165;-1;5943;-1;-1;-1;-1;-1;G type;G type;-1;-;-
0034;0034;V;BHMCat0034V;DEBCat;27;EW Ori;05 20 09.15;+02 02 39.97;6,937;0,0946000;0,0758;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9,09;0,570;1,173;0,011;1,123;0,009;0,957;1,168;0,005;1,097;0,005;6067;-1;5902;-1;-1;-1;-1;-1;G0V;G2V;-1;-;-
0035;0035;V;BHMCat0035V;DEBCat;26;V785 Cep;00 52 37.54;+85 10 34.65;6,504;0,0885000;0,0000;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14,74;0,600;1,103;0,007;1,081;0,007;0,980;1,424;0,019;1,373;0,019;5902;-1;5874;-1;-1;-1;-1;-1;G type;G type;-1;-;-
0036;0036;V;BHMCat0036V;EkCat;141;M4-V69;-1;-1;48,1882687;0,2964108;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,766;0,005;0,728;0,004;0,950;0,866;0,010;0,807;0,008;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2013AJ....145...43K;"
