No,Nostr,Type,BHMCatS,SourceCat,SourceID,binary_str_SysID,star1_str_StarID,star1_M,star1_Merr,star1_R,star1_Rerr,star1_T,star1_Terr,star1_logg,star1_loggerr,star1_vsini,star1_vsinierr,star1_Protv,star1_Protverr,star1_Prot,star1_Proterr,star1_str_Stype,star2_str_StarID,star2_M,star2_Merr,star2_R,star2_Rerr,star2_T,star2_Terr,star2_logg,star2_loggerr,star2_vsini,star2_vsinierr,star2_Protv,star2_Protverr,star2_Prot,star2_Proterr,star2_str_Stype,binary_q,binary_Pbin,binary_abin,binary_ebin,binary_wbin,binary_Zfit,binary_FeHfit,binary_FeHfiterr,binary_Zobs,binary_FeHobs,binary_ibin,binary_taumin,binary_taumax,binary_V,binary_BV,binary_d,binary_derr,binary_dmod,binary_Lx,RA,DEC,Planets,Notes,binary_ADS
int,str,str,str,str,str,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,dms,dms,str,str,str
No.,No.,Type,Cat.Id.,Source Cat.,Source Id.,System Id.,Star 1 Id.,M_1,"M_1,err",R_1,"R_1,err",T_1,"T_1,err",log g_1,"log g_2,err","v_1 sin i,1","v_1 sin i_1,err","P_rot,v,1","P_rot,v,1,err","P_rot,1","P_rot,1,err",Sp. Type 1,Star 2 Id.,M_2,"M_2,err",R_2,"R_2,err",T_2,"T_2,err",log g_2 ,"log g_2,err",v_2 sin i_2,"v_2 sin i_2,err","P_rot,v,2","P_rot,v,2,err","P_rot,2","P_rot,2,err",Sp. Type 2,q,P_bin,a_bin,e_bin,\omega_bin,Z_fit,[Fe/H]_fit,"[Fe/H]_fit,err",Z_obs,[Fe/H]_obs,i_bin,\tau_min,\tau_max,V,B-V,d,"d,err",d_mod,L_x,RA,DEC,Planets,Notes,ADS Link
18,0018,P,BHMCatS0018P,EkCat,238,LL Aqr,LL Aqr A,"1,223","0,058","1,325","0,02",6680,160,"4,281","0,009",-1,-1,-1,-1,-1,-1,F3V ,LL Aqr B,"1,056","0,051","1,005","0,016",6200,160,"4,457","0,01",-1,-1,-1,-1,-1,-1,F6V,"0,863450531479967","20,178241","0,190982033823529","0,31",-1,-1,-1,-1,-1,-1,"89,51",-1,-1,"9,317",-1,123,9,-1,-1,22:34:42.15,-03:35:58.17,BHMCatPP0019;,DEBCat,2008MNRAS.390..958I;
19,0019,P,BHMCatS0019P,EkCat,187,V565 Lyr,V565 Lyr A,"0,996","0,003","1,101","0,007",5600,95,"4,3524","0,0053",4,1,-1,-1,-1,-1,G type,V565 Lyr B,"0,929","0,003","0,971","0,009",5430,125,"4,4319","0,008","3,5",1,-1,-1,-1,-1,G type,"0,932730923694779","18,798638","0,172270169919786","0,02",-1,-1,-1,-1,-1,-1,"89,38",-1,-1,"17,73",-1,4010,250,-1,-1,19:20:49.10,+37:46:09.30,BHMCatPP0020;,DEBCat,2011A&A...525A...2B;
20,0020,P,BHMCatS0020P,EkCat,154,LV Her,LV Her A,"1,193","0,01","1,358","0,012",6060,150,"4,249","0,008",13,1,-1,-1,-1,-1,F9V ,LV Her B,"1,17","0,008","1,313","0,011",6030,150,"4,27","0,008",13,1,-1,-1,-1,-1,F9V,"0,980720871751886","18,4359535","0,182091571122995","0,613",-1,-1,-1,-1,-1,-1,"89,55",-1,-1,"10,984",-1,352,24,-1,-1,17:35:32.40,+23:10:30.60,BHMCatPP0021;,DEBCat,2009AJ....138.1622T;
21,0021,P,BHMCatS0021P,EkCat,198,KIC 6131659,KIC 6131659 A,"0,922","0,007","0,88","0,003",5660,140,"4,51361395576685","0,004",-1,-1,-1,-1,-1,-1,G5V,KIC 6131659 B,"0,685","0,005","0,64","0,006",4780,105,"4,66185785287664","0,009",-1,-1,-1,-1,-1,-1,-,"0,74295010845987","17,52782716","0,154768526069519",0,-1,-1,-1,-1,-1,-1,"89,19",-1,-1,"17,85",-1,322,31,-1,-1,19:37:06.98,+41:26:12.86,BHMCatPP0022;,DEBCat,2008AN....329..835B;
22,0022,P,BHMCatS0022P,EkCat,188,V568 Lyr ,V568 Lyr  A,"1,074","0,008","1,399","0,016",5665,100,"4,178","0,01",-1,-1,-1,-1,-1,-1,G type,V568 Lyr  B,"0,827","0,004","0,768","0,006",4900,100,"4,586","0,008",-1,-1,-1,-1,-1,-1,K type,"0,770018621973929","14,469918","0,14406273328877",0,-1,-1,-1,-1,-1,-1,"89,76",-1,-1,"16,91",-1,3972,187,-1,-1,19:20:54.30,+37:45:34.70,BHMCatPP0023;,DEBCat,2008A&A...492..171G;
23,0023,P,BHMCatS0023P,EkCat,74,TYC 176-2950-1,TYC 176-2950-1 A,"1,055","0,008","1,65","0,03",-1,-1,"4,02613295021946","0,016",-1,-1,-1,-1,-1,-1,G6,TYC 176-2950-1 B,"1,041","0,008","1,18","0,02",-1,-1,"4,31153509391184","0,015",-1,-1,-1,-1,-1,-1,-,"0,986729857819905","11,55478","0,128004044117647","0,21",-1,-1,-1,-1,-1,-1,"88,2",-1,-1,"10,215",-1,177,17,-1,-1,07:16:25.56,+05:48:53.33,BHMCatPP0024;,,2008AN....329..835B;
24,0024,P,BHMCatS0024P,EkCat,173,BF Dra,BF Dra A,"1,414","0,003","2,086","0,012",6360,150,"3,95","0,005","10,5","1,8",-1,-1,-1,-1,F6V ,BF Dra B,"1,375","0,003","1,922","0,012",6400,150,"4,008","0,005",9,"1,8",-1,-1,-1,-1,F6V,"0,972418670438472","11,2110047","0,0960728534759358","0,387",-1,-1,-1,-1,-1,-1,"88,42",-1,-1,"9,77",-1,354,27,-1,-1,18:50:59.35,+69:52:57.48,BHMCatPP0025;,,2012AJ....143..129S;
25,0025,P,BHMCatS0025P,EkCat,176,HP Dra,HP Dra A,"1,133","0,005","1,371","0,012",6000,150,"4,218","0,01","4,22","0,01",-1,-1,-1,-1,F9V ,HP Dra B,"1,094","0,007","1,052","0,01",5895,150,"4,433","0,011","4,43","0,01",-1,-1,-1,-1,F9V,"0,965578111209179","10,76152","0,124699212433155","0,037",-1,-1,-1,-1,-1,-1,"87,82",-1,-1,"7,951",-1,77,3,-1,-1,18:54:53.48,+51:18:29.79,BHMCatPP0026;,DEBCat,2010AJ....140..129M;
26,0026,P,BHMCatS0026P,EkCat,239,RW Lac,RW Lac A,"0,928","0,006","1,186","0,004",5760,100,"4,257","0,003",2,2,-1,-1,-1,-1,G5V ,RW Lac B,"0,87","0,004","0,964","0,004",5560,150,"4,409","0,004",-1,-1,-1,-1,-1,-1,G7V,"0,9375","10,3692046","0,112550464973262","0,01",-1,-1,-1,-1,-1,-1,"89,49",-1,-1,"10,789",-1,190,10,-1,-1,22:44:57.10,+49:39:27.57,BHMCatPP0027;,DEBCat,2005AJ....130.2838L;
27,0027,P,BHMCatS0027P,EkCat,68,HS Aur,HS Aur A,"0,898","0,019","1,005","0,023",5350,70,"4,39","0,02",-1,-1,-1,-1,-1,-1,G8V ,HS Aur B,"0,877","0,017","0,874","0,03",5200,72,"4,5","0,03",-1,-1,-1,-1,-1,-1,K0V,"0,976614699331848","9,815377","0,108780164037433",0,-1,-1,-1,-1,-1,-1,90,-1,-1,"10,036",-1,130,5,-1,-1,06:51:18.47,+47:40:24.16,BHMCatPP0028;,DEBCat,1986AJ.....91..383P;
