BHMCatP,PlanetID,planet_fHHe,planet_CMF,planet_tau,planet_Prot,planet_R,planet_M,planet_Extra1,planet_Extra2,planet_Extra3,planet_Extra4,planet_Extra5,planet_str_Extra1,planet_str_Extra2,interaction_tauini,interaction_tauref,interaction_nM,interaction_nP,interaction_str_refobj,interaction_Mmin,interaction_Mmax,interaction_alpha,interaction_muatm,interaction_Extra1,interaction_Extra2,interaction_Extra3,interaction_Extra4,interaction_Extra5,interaction_str_Extra1,interaction_str_Extra2
str,str,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,str,float,float,float,float,float,float,float,float,float,str,str
Cat.Id.,System Id.,"f_H,He",CMF,\tau,P_rot,R_p,M_p,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,\tau_ini,\tau_ref,n_M,n_P,Ref. Obj.,M_min,M_max,\alpha,\mu_atm,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2
BHMCatPP0034,V1143 Cygh,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0035,ASAS J085524-4411.3 h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0036,EW Orih,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0037,FM Leoh,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0038,BW Aqrh,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0039,NGC188 KR V12h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0040,BD-02 873h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1001,NICHE-001h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1002,NICHE-002h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1003,NICHE-003h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1004,NICHE-004h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1005,NICHE-005h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1006,NICHE-006h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1007,NICHE-007h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1008,NICHE-008h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1009,NICHE-009h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1010,NICHE-010h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1011,NICHE-011h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1012,NICHE-012h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPV1013,Earth Analogue,"0,3","0,34","4,56",1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Earth',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
